id,generated_on,line_id,line_id_stateless,trip_code,station_id,station_name,station_platform,station_coords,planned_arr_time,planned_dep_time,arr_delay,dep_delay
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009260,Essen Goldschmidtstr.,3,"781709.00000,5297408.00000",2023-10-03T00:20:00.000000000,2023-10-03T00:20:00.000000000,1,1
496c9ffe-acce-4e76-96ab-fce15121fffd,2023-10-03T01:30:14.102848000,12M12,eva:12M12: :R:j23,20,20009623,Essen Hollestr.,3,"781536.00000,5297990.00000",2023-10-03T00:22:00.000000000,2023-10-03T00:22:00.000000000,1,1
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009589,Essen Philippusstift,3,"773725.00000,5294077.00000",,2023-10-03T00:58:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009254,Essen Germaniaplatz,2,"773921.00000,5294207.00000",2023-10-03T00:59:00.000000000,2023-10-03T00:59:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009431,Essen Leimgardtsfeld,4,"774439.00000,5293765.00000",2023-10-03T01:01:00.000000000,2023-10-03T01:01:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009676,Essen An Don Bosco,1,"775108.00000,5294111.00000",2023-10-03T01:02:00.000000000,2023-10-03T01:02:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009675,Essen Altenberg,1,"775796.00000,5293787.00000",2023-10-03T01:03:00.000000000,2023-10-03T01:03:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009667,Essen Zinkstr.,1,"776278.00000,5293504.00000",2023-10-03T01:04:00.000000000,2023-10-03T01:04:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009150,Essen Bergeborbeck Bf,2,"776685.00000,5293626.00000",2023-10-03T01:05:00.000000000,2023-10-03T01:05:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009162,Essen Bocholder Str.,2,"776848.00000,5294057.00000",2023-10-03T01:06:00.000000000,2023-10-03T01:06:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009152,Essen Bergmühle,2,"776717.00000,5294656.00000",2023-10-03T01:07:00.000000000,2023-10-03T01:07:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009355,Essen Jahnplatz,2,"777057.00000,5295538.00000",2023-10-03T01:08:00.000000000,2023-10-03T01:08:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009283,Essen Hamborner Str.,2,"777313.00000,5295977.00000",2023-10-03T01:09:00.000000000,2023-10-03T01:09:00.000000000,0,0
4fb6022a-cb30-4fe9-8d94-b894348de30f,2023-10-03T01:30:14.103106000,12M12,eva:12M12: :R:j23,12,20009306,Essen Helenenstr.,3,"777055.00000,5296748.00000",2023-10-03T01:10:00.000000000,2023-10-03T01:10:00.000000000,0,0
